User Name,9220950,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,1,Claim Id,Age
Jerrell Wiley,8308120,1602620,11/23/2020,81957,"East Lake, FL",Bike & Car Accident,01/21/2021,06/02/2021,6022,54926,1,8983286,16
Patricia Spinks,4653892,6077035,4/25/2020,58564,"Wanamie, PA",Multiple Car Accident,10/05/2020,02/11/2021,6912,51613,1,9687202,56
Daniel Overstreet,6857900,9111113,6/16/2020,55813,"Beech Mountain Lakes, PA",Bike & Car Accident,12/25/2020,04/09/2021,19525,13702,1,4128581,39
Olive Preston,8251291,3709922,9/13/2020,28109,"Barnes City, IA",Single Car Accident,01/05/2021,06/03/2021,2544,11258,1,8418791,50
Bertha Rodriguez,1048097,3060420,7/21/2020,36222,"Danville, GA",Hit and Run,01/03/2021,05/26/2021,2564,50130,1,4408124,20
Dessie Bolton,9306532,8549800,4/8/2020,95202,"Lock Springs, MO",Hit and Run,11/05/2020,02/09/2021,6464,21757,0,2816253,25
Joyce Arevalo,8321235,1953619,9/10/2020,94473,"Norwalk, IA",Single Car Accident,12/21/2020,02/03/2021,11281,10349,0,3009483,38
Clarence Brink,4709204,7151744,6/2/2020,39580,"Willows, CA",Auto Theft,03/01/2021,04/18/2021,16219,10937,1,8478610,22
Jessica Bryan,6812733,5586878,9/14/2020,17255,"Grayville, IL",Single Car Accident,10/14/2020,12/12/2020,14883,19199,1,6084135,22
Deborah Mieles,9798920,7356103,11/27/2020,81884,"Boykin, SC",Bike & Car Accident,02/20/2021,06/13/2021,3201,52384,1,5296798,33
Kathy Rykert,9347943,6472749,3/9/2020,73003,"Spiceland, IN",Auto Theft,01/08/2021,04/29/2021,10906,6181,1,1834536,31
Shavonne Johnston,4646992,1035670,2/23/2020,25953,"Los Indios, TX",Multiple Car Accident,05/14/2021,06/09/2021,7505,35216,0,9701205,58
Ana Steele,1144479,9808583,7/12/2020,85506,"Littlerock, CA",Multiple Car Accident,04/19/2021,05/16/2021,11068,50355,0,5258693,52
Candace Smith,6012405,5310254,8/17/2020,73555,"Waxhaw, NC",Auto Theft,11/02/2020,01/08/2021,15339,24459,1,9429688,27
Reba Braswell,2453534,6458153,1/3/2020,87376,"Port Edwards, WI",Hit and Run,11/01/2020,06/25/2021,19375,34261,0,9426371,57
Troy Sauter,6411601,9017787,11/28/2020,39317,"Pasadena Hills, MO",Multiple Car Accident,06/03/2021,06/22/2021,16607,28345,1,6719826,54
Thomas Carvajal,8349899,1007272,2/6/2020,47865,"Kachemak, AK",Multiple Car Accident,01/03/2021,04/22/2021,16031,56955,0,4955267,62
John Fletcher,1251489,3055631,12/2/2020,19879,"Subiaco, AR",Hit and Run,01/02/2021,01/11/2021,5268,48809,1,6060140,62
Keith Walker,1150434,9995044,1/10/2020,95691,"Plantersville, TX",Single Car Accident,02/23/2020,09/15/2020,3905,43889,1,8025565,42
Denise Mccaffrey,2673848,2361346,3/19/2020,88870,"Tingley, IA",Single Car Accident,03/29/2021,04/12/2021,16614,31877,0,3784144,20
Steven Zimmerman,5062247,6000131,12/26/2020,78107,"Blackwater, MO",Auto Theft,01/22/2021,06/19/2021,18073,32189,0,1862962,45
Thomas Soto,1772955,3038589,10/5/2020,60011,"Olimpo, PR",Hit and Run,02/17/2021,02/23/2021,5752,18727,1,2269750,25
Richard Jones,7044599,5533447,3/22/2020,55601,"Hialeah, FL",Bike & Car Accident,03/31/2021,05/22/2021,10079,13699,0,5661454,25
Celeste Mcroy,4436228,4358388,10/21/2020,42601,"Loganton, PA",Single Car Accident,11/18/2020,11/18/2020,9572,55132,1,4230179,23
Earl Aho,5332923,7869510,9/1/2020,18630,"Nielsville, MN",Multiple Car Accident,12/20/2020,04/17/2021,16224,49579,1,7201541,31
Joshua Harris,1126657,6240473,11/10/2020,14364,"Tallaboa Alta, PR",Bike & Car Accident,05/21/2021,06/26/2021,18093,54760,0,8159388,39
Tina Tolliver,9514073,9282870,5/1/2020,64610,"Schuyler, NE",Single Car Accident,07/09/2020,01/30/2021,15903,7085,0,6536838,47
Barbara Conroy,5212604,3396836,4/15/2020,27279,"Brookdale, CA",Multiple Car Accident,10/18/2020,12/21/2020,2864,55918,1,5294255,65
Mary Brown,7416804,3186706,9/23/2020,41986,"St. Marys, PA",Bike & Car Accident,02/16/2021,03/21/2021,13020,49110,0,4377792,47
Kristina Purdy,7037779,6915958,11/4/2020,34102,"Biehle, MO",Auto Theft,02/03/2021,03/19/2021,3792,41476,1,3274316,20
Mildred Witters,6716107,6876581,3/20/2020,99389,"Wallenpaupack Lake Estates, PA",Hit and Run,11/14/2020,01/30/2021,10840,27830,0,2758693,45
Judith Soukup,4879536,1493632,5/21/2020,80885,"Larchwood, IA",Bike & Car Accident,03/04/2021,04/08/2021,11586,9016,0,5695914,53
Emil Bynum,6884543,1537196,7/6/2020,56432,"Cherry, IL",Single Car Accident,03/11/2021,03/15/2021,14693,18088,0,3435797,21
David Sexton,2232924,3578310,9/20/2020,28085,"Evansdale, IA",Multiple Car Accident,06/30/2021,06/30/2021,6815,57094,0,8558117,25
James Deshazer,5166704,6636235,1/26/2020,98322,"Norwalk, OH",Hit and Run,08/09/2020,10/15/2020,18893,52120,1,7485904,62
Ruth Foley,7994905,5178780,10/24/2020,44931,"Five Points, NC",Multiple Car Accident,03/25/2021,05/29/2021,2033,40294,0,6820626,57
Matthew Orta,5954841,7723859,12/20/2020,77145,"Plaza, ND",Single Car Accident,05/15/2021,06/13/2021,10430,19983,0,3174346,44
Rita Cahoon,4457120,2681801,7/12/2020,84329,"Henderson, TN",Multiple Car Accident,01/30/2021,04/22/2021,13521,46052,0,5608527,28
Percy Cooper,3265386,5524377,7/13/2020,37390,"Cross Plains, WI",Auto Theft,07/23/2020,09/01/2020,12175,28038,1,5170013,28
Marsha Kinroth,3548678,9361216,5/13/2020,29812,"Gardner, KS",Bike & Car Accident,06/28/2020,09/14/2020,16652,50880,0,8359805,34
Carolyn Cavaliero,3167878,3095706,12/2/2020,32045,"Yorba Linda, CA",Hit and Run,03/08/2021,06/24/2021,15224,25463,0,4711306,26
Richard Rodriguez,2315184,9188749,12/18/2020,16655,"Emerald Lake Hills, CA",Hit and Run,03/12/2021,04/30/2021,2627,56233,1,5508906,52
Joyce Benefield,2593845,1910589,2/3/2020,12753,"Orchard Lake Village, MI",Single Car Accident,04/10/2020,03/10/2021,5942,58968,0,9303014,64
Julie Holland,4482804,1391046,10/5/2020,59271,"Millville, MN",Single Car Accident,05/22/2021,06/15/2021,4183,17237,0,6459191,34
Nichole Vera,9575132,2838664,6/17/2020,16754,"Big Sandy, MT",Multiple Car Accident,03/02/2021,06/26/2021,14068,32415,0,9252689,28
David Harris,8111251,4989191,12/13/2020,18850,"Carrick, CA",Hit and Run,01/27/2021,05/08/2021,10968,48332,1,8641949,27
Harold Kump,9129018,5383754,7/25/2020,78964,"Liberal, MO",Auto Theft,06/21/2021,07/01/2021,10397,56220,0,5375425,54
Guadalupe Grass,8666133,5766303,10/1/2020,14042,"Middleborough Center, MA",Multiple Car Accident,01/13/2021,02/02/2021,10855,55442,0,3454559,24
Rhonda Donaldson,8581687,1832403,1/23/2020,44449,"March ARB, CA",Single Car Accident,02/28/2021,06/19/2021,15726,33854,0,1180944,36
Joe Boyle,7970938,7904742,12/8/2020,83404,"St. Lucas, IA",Auto Theft,12/20/2020,03/17/2021,16472,48293,1,6001908,42
Julie Ard,2419971,1431474,12/3/2020,36684,"Hopewell, VA",Auto Theft,02/06/2021,03/31/2021,8423,52073,1,3621849,25
Ronnie Gregory,2365661,3057470,12/3/2020,83264,"Promise City, IA",Hit and Run,05/29/2021,06/21/2021,4409,49156,1,6495098,51
Elton Upchurch,5856606,1095470,2/3/2020,26101,"Helenville, WI",Auto Theft,03/01/2021,04/17/2021,6860,16248,0,4602749,59
Harriet Hiltner,7367875,5937597,12/3/2020,47881,"Centralia, IA",Bike & Car Accident,02/16/2021,04/24/2021,10362,55785,1,4518279,16
Georgia Vetrano,7451102,7804511,4/12/2020,38324,"Lorton, NE",Single Car Accident,05/03/2021,06/11/2021,5127,26246,0,4423290,44
Leroy Vanvleck,1516469,5808176,5/17/2020,67155,"Coy, AR",Auto Theft,07/19/2020,11/19/2020,11595,15253,0,2181728,49
Virginia Holmes,4263631,2365631,12/12/2020,27935,"St. Clair, PA",Multiple Car Accident,02/28/2021,04/26/2021,10290,8397,0,7459468,42
Rebecca Schneider,4147515,8737504,4/14/2020,54218,"Turkey Creek, AZ",Single Car Accident,04/24/2021,05/25/2021,19198,30147,0,1152972,23
Mark Banderas,8526159,4837652,5/20/2020,44676,"Dean, TX",Auto Theft,11/10/2020,06/27/2021,5091,58001,0,3740374,38
Eleanor Rodriguez,1341689,9106277,2/15/2020,87424,"Floridatown, FL",Multiple Car Accident,03/01/2021,06/13/2021,16958,34611,0,9317224,43
Richard Rhymer,4489731,2738703,9/14/2020,89774,"Madison, OH",Auto Theft,02/23/2021,05/08/2021,3704,28324,0,8103197,36
Kenneth Reynolds,2183958,6832945,6/14/2020,49528,"Bowen, IL",Single Car Accident,11/27/2020,02/28/2021,16961,24192,1,6459456,24
Sara Caldwell,6326343,2973543,5/27/2020,24016,"Fayette, MO",Multiple Car Accident,04/11/2021,05/12/2021,9798,24893,0,8604468,65
Kathleen Richard,9816390,3449466,7/13/2020,52056,"Tuscola, IL",Multiple Car Accident,12/30/2020,05/02/2021,16006,48901,0,6321612,41
Timothy Paradis,9180919,2526192,6/14/2020,11691,"Greensburg, KS",Multiple Car Accident,04/05/2021,04/27/2021,18303,36247,0,3449918,20
Allie Stewart,5348488,3175553,3/15/2020,75355,"Delight, AR",Hit and Run,02/07/2021,02/19/2021,16739,6896,1,6565530,35
Ida Robinson,4741759,3804775,9/8/2020,31806,"Coffeeville, AL",Hit and Run,01/04/2021,05/24/2021,12520,53688,1,8919238,65
James Russell,5120659,8295284,5/23/2020,60662,"Crestview, FL",Bike & Car Accident,09/22/2020,11/29/2020,17517,41851,0,7814751,40
Marjorie Ahrens,6762720,9212010,1/28/2020,45933,"Phoenix Lake, CA",Multiple Car Accident,10/17/2020,01/29/2021,14981,34603,0,7096699,32
Lisa Mcloughlin,2595819,5910824,3/15/2020,49015,"Colbert, GA",Single Car Accident,01/25/2021,04/10/2021,16275,21174,1,9674304,22
Susan Thomas,5115405,1744084,6/28/2020,73628,"Elias-Fela Solis, TX",Bike & Car Accident,07/10/2020,02/05/2021,16982,14960,0,7900542,31
Jodi Denise,8701371,2283500,5/19/2020,22979,"Fort Supply, OK",Auto Theft,01/13/2021,02/18/2021,15982,41844,0,5025430,27
Samuel Flowers,3761367,3516228,12/25/2020,27176,"Leonardtown, MD",Auto Theft,06/21/2021,06/28/2021,19572,43879,1,5313771,56
Noah Ramirez,7321667,8674738,8/8/2020,14504,"Castleton-on-Hudson, NY",Auto Theft,05/18/2021,06/25/2021,8945,21394,0,3459133,36
Tamara Robbins,5654764,2255630,1/28/2020,11326,"Morrisville, PA",Bike & Car Accident,06/24/2021,06/26/2021,14781,45572,1,6658057,24
Brandon Orme,2414499,5625503,12/2/2020,10224,"Seville, CA",Auto Theft,01/10/2021,06/22/2021,10040,33685,0,7827743,39
Angela Corvera,9140657,3395059,5/28/2020,70887,"Sun, LA",Bike & Car Accident,06/15/2021,07/01/2021,4664,42977,0,7392844,38
Vickie Muzzey,1737556,5753452,8/2/2020,58766,"Cullomburg, AL",Bike & Car Accident,09/24/2020,11/26/2020,18098,21305,1,2459208,52
Tracy Henderson,5704619,6171649,8/4/2020,77929,"Mountain Home, AR",Hit and Run,04/24/2021,05/22/2021,15590,10478,0,3195214,42
James Hess,2700455,8194088,1/18/2020,31549,"Magness, AR",Bike & Car Accident,08/06/2020,02/17/2021,9034,31307,0,5161716,33
Cindy Colon,4244968,7497611,9/11/2020,55438,"Tyler, MN",Auto Theft,02/28/2021,05/06/2021,4336,57507,0,9761608,40
James Stevens,3137808,6697780,1/21/2020,90407,"Mi-Wuk Village, CA",Bike & Car Accident,05/12/2021,06/05/2021,13946,54346,0,1642865,28
Deborah Polanco,6995461,1337506,4/13/2020,65363,"Brenton, WV",Auto Theft,02/26/2021,03/04/2021,3764,23472,0,6022308,22
Kristin Dunseith,9490801,5531241,2/23/2020,55979,"Collins, IA",Single Car Accident,11/22/2020,02/14/2021,4254,27851,0,2847583,65
Troy Doan,3248235,2236769,2/27/2020,32100,"Elk Creek, NE",Multiple Car Accident,03/27/2020,12/26/2020,5374,33431,0,1234522,61
Charles Wells,8415571,3706174,5/22/2020,58473,"Mekoryuk, AK",Single Car Accident,09/24/2020,02/05/2021,17295,52285,0,9372252,65
Gloria Lewis,4734473,8584677,12/19/2020,61550,"Severance, CO",Bike & Car Accident,12/29/2020,05/10/2021,19871,27140,0,6371191,21
Alice Cummins,6622340,1325089,6/11/2020,66436,"Day Valley, CA",Single Car Accident,10/15/2020,11/29/2020,3034,57324,0,3001796,22
Jamie Forte,4946656,2723438,7/14/2020,52487,"Arcadia, OH",Multiple Car Accident,09/06/2020,04/22/2021,19849,54487,1,1751011,46
Candice Smith,3511563,7384005,1/13/2020,45836,"Pella, IA",Bike & Car Accident,10/07/2020,02/26/2021,14767,43629,0,3484770,44
Joseph House,8060597,2917811,7/8/2020,51072,"Boling, TX",Single Car Accident,03/29/2021,05/03/2021,19536,21779,0,1044559,19
Donna Gay,5480839,7978555,3/4/2020,47056,"Garden View, PA",Single Car Accident,12/22/2020,03/10/2021,5372,20968,0,4316568,36
Helen Smith,4917988,5358035,7/24/2020,49657,"Copeland, KS",Single Car Accident,02/10/2021,05/12/2021,14886,43597,0,5521858,64
Debbie Menendez,1452220,6218908,3/26/2020,71854,"Sidney, OH",Single Car Accident,05/11/2020,08/07/2020,8402,24909,0,7962201,25
Donald Milford,9268354,1055626,10/6/2020,64710,"Nassawadox, VA",Single Car Accident,10/17/2020,02/17/2021,14840,35636,0,8919083,19
Margaret Frost,6602272,3690200,11/27/2020,90452,"Folsom, PA",Multiple Car Accident,01/22/2021,06/17/2021,10822,21607,0,3242821,38
David Parker,7266052,1605224,4/19/2020,41217,"Musselshell, MT",Hit and Run,05/12/2020,01/22/2021,19194,35145,0,5976904,57
Jesus Berrian,3024282,7146491,4/17/2020,50824,"Montrose, PA",Single Car Accident,05/18/2021,06/14/2021,12612,26010,1,2541440,36
Edward Simmons,9435933,2116461,7/5/2020,40931,"Bevington, IA",Bike & Car Accident,12/30/2020,04/06/2021,12336,33463,0,2235220,49
Vickie West,2544454,2537936,6/22/2020,43267,"Liborio Negron Torres, PR",Hit and Run,11/03/2020,11/12/2020,19112,45901,0,3420611,34
Betty Smith,1167696,6575396,7/22/2020,24977,"Williamsburg, KS",Hit and Run,12/05/2020,01/23/2021,18795,9583,1,1757575,48
Jerry Robbins,6268827,2481462,1/19/2020,59371,"Catano, PR",Auto Theft,08/27/2020,02/05/2021,8786,35094,0,9326820,36
Cedric Dubois,7180220,6954284,1/6/2020,42710,"Panama, NE",Hit and Run,02/04/2020,04/11/2020,17031,49735,0,2699497,23
Lisa Milton,6861809,9715200,1/7/2020,21249,"Jesup, IA",Bike & Car Accident,02/15/2020,03/26/2021,11629,53480,0,9205295,20
Roger Tafoya,6832666,7990983,6/19/2020,47011,"Jenison, MI",Single Car Accident,02/02/2021,02/28/2021,18213,21729,0,2548840,53
Barbara Graybill,9541185,2091455,11/8/2020,86879,"Salinas, PR",Hit and Run,11/17/2020,02/14/2021,19596,52147,1,3327063,20
James Groomes,8441969,4718253,1/25/2020,22708,"Culpeper, VA",Hit and Run,10/02/2020,10/27/2020,17152,7580,1,3099847,48
Crystal Allen,7674584,1614446,8/22/2020,24351,"Carroll Valley, PA",Bike & Car Accident,11/19/2020,06/05/2021,12033,27292,0,2114910,16
Michael Pierre,7805486,1517144,1/1/2020,82231,"Revillo, SD",Bike & Car Accident,01/04/2020,12/25/2020,2487,52468,0,2425304,51
Jeannine Cowgill,3419104,6032708,12/23/2020,23070,"Welcome, SC",Auto Theft,05/12/2021,05/24/2021,14543,32050,1,8117749,30
Antwan Massey,7703918,6316035,3/9/2020,34262,"Blountville, TN",Bike & Car Accident,05/01/2021,05/31/2021,8710,10977,1,4983449,49
Vilma Core,9400743,1432862,2/2/2020,64743,"Berkey, OH",Bike & Car Accident,03/14/2021,03/18/2021,7512,29713,1,3372353,16
Louise Brown,5255862,5477818,11/25/2020,60993,"Hunts Point, WA",Auto Theft,04/13/2021,06/02/2021,10942,26680,1,9224282,31
Fred Kennedy,4046933,6185076,11/8/2020,90265,"Carlton, AL",Hit and Run,03/03/2021,05/17/2021,2111,58205,1,8882745,17
Arthur Garza,4922414,3491305,12/15/2020,33015,"Terre Hill, PA",Single Car Accident,01/01/2021,02/06/2021,11449,37238,1,9421064,61
Terry Hauser,9329904,2889667,1/11/2020,49562,"London, OH",Hit and Run,09/17/2020,03/09/2021,12334,10685,1,7595135,65
Alton Spurgeon,1429111,3025149,9/1/2020,55105,"Salemburg, NC",Multiple Car Accident,07/01/2021,07/01/2021,11079,44223,0,3091341,61
Dianna Landry,3143665,4357917,8/14/2020,45825,"Lester, AL",Single Car Accident,11/15/2020,11/17/2020,4774,31100,0,3001379,34
Antonia Stout,1184874,1949139,4/24/2020,53814,"Denair, CA",Bike & Car Accident,06/05/2020,08/14/2020,2064,40077,0,1662900,55
Shannon Baker,9566983,1245588,12/22/2020,71127,"Lithia Springs, GA",Auto Theft,02/01/2021,02/06/2021,13256,42314,0,4820812,64
Nikki Messina,5679676,8698676,12/15/2020,36016,"Freeport, NY",Hit and Run,03/28/2021,06/24/2021,14449,20528,1,7624453,42
Terry Acosta,3606132,5008728,10/19/2020,76791,"Benton City, WA",Auto Theft,03/15/2021,04/21/2021,12286,50853,0,9656067,49
Mindy Skillman,5216527,3140513,3/24/2020,12062,"New Edinburg, AR",Multiple Car Accident,08/27/2020,09/26/2020,11203,55834,0,7924177,19
Bill Lane,6166515,5868936,7/22/2020,83855,"Cedar Grove, WV",Single Car Accident,07/22/2020,05/28/2021,16311,37548,0,5700864,42
John Hopkins,3268891,5330471,10/22/2020,48365,"Homeland Park, SC",Single Car Accident,06/23/2021,06/23/2021,14974,22053,0,2275192,62
Janice Atwater,6857790,1596250,12/9/2020,40239,"Grandfather, NC",Bike & Car Accident,06/17/2021,06/29/2021,16208,23870,1,7541534,29
Richard Walker,2255554,3971146,9/8/2020,33690,"Cadillac, MI",Single Car Accident,03/19/2021,04/10/2021,6697,10345,0,3189741,21
James Farnsworth,3391872,4628349,9/26/2020,20971,"Du Bois, IL",Bike & Car Accident,01/05/2021,04/24/2021,8784,54790,0,6672990,24
Kandice Turner,1560579,1842580,1/11/2020,65303,"Redwater, MS",Single Car Accident,11/23/2020,02/01/2021,5094,25141,1,4303928,28
Bobby Altamirano,5632008,3191787,4/17/2020,25968,"McIntosh, SD",Hit and Run,07/25/2020,04/02/2021,12367,23240,0,7176397,43
Calvin Gladney,8637227,6438682,5/15/2020,35616,"Churchville, NY",Bike & Car Accident,04/03/2021,06/18/2021,10818,10477,1,5673897,21
Richard Bragdon,8183139,8710085,5/3/2020,81420,"Keystone, IA",Single Car Accident,12/24/2020,04/09/2021,9278,26188,0,4404108,57
Kathryn Brown,1281587,6363494,6/3/2020,73037,"Madrid, IA",Bike & Car Accident,05/16/2021,06/06/2021,2255,27058,0,1346430,52
Ramona Forsyth,7056806,5824955,7/13/2020,12532,"Fingerville, SC",Single Car Accident,12/10/2020,04/25/2021,16523,5230,1,9885141,49
Michelle Theodore,9600401,5204165,12/17/2020,94112,"Baden, PA",Multiple Car Accident,06/21/2021,06/25/2021,10783,21846,1,7380780,20
Millicent Davis,1771933,1643371,10/18/2020,21267,"Algonac, MI",Multiple Car Accident,01/20/2021,06/28/2021,13890,28767,0,9292929,46
Patricia Canpos,5570601,3068212,11/8/2020,71603,"Bedford, IN",Multiple Car Accident,03/24/2021,05/09/2021,9751,28726,0,5632035,54
Robert Haynes,5734165,9122285,6/8/2020,25481,"Wilmot, SD",Single Car Accident,12/20/2020,02/21/2021,5539,32181,0,8149884,54
Stephen Brown,1518600,5305863,12/12/2020,23057,"Mud Bay, AK",Hit and Run,12/12/2020,04/29/2021,11304,56486,0,7896844,61
Jonathan Hasan,5195481,2012972,7/26/2020,95379,"Langley Park, MD",Single Car Accident,06/08/2021,06/13/2021,19850,25304,1,5843615,27
David Sayre,2360592,8920773,10/26/2020,78445,"Elderton, PA",Hit and Run,12/07/2020,02/03/2021,10813,19182,0,5052228,46
Adriana Slavick,2794229,6559541,5/9/2020,38258,"Levelland, TX",Bike & Car Accident,05/25/2020,02/22/2021,4041,14919,0,9956396,26
Robert Oconnor,9268808,7006504,6/22/2020,70219,"Sandy Level, VA",Single Car Accident,07/08/2020,08/30/2020,9044,53304,0,4109951,49
Craig Loveday,8255892,8856382,9/28/2020,74312,"Montgomery, LA",Bike & Car Accident,02/25/2021,04/20/2021,2623,32357,0,9089287,16
Mary Silverman,7250448,1746428,9/25/2020,29628,"Glenview, IL",Auto Theft,04/27/2021,05/27/2021,14926,17060,0,5248465,44
Jerry Celestine,9535963,3658642,10/9/2020,32514,"North Ballston Spa, NY",Hit and Run,10/17/2020,12/14/2020,13157,52250,1,4938122,17
Monica Thornton,5114355,1154962,8/5/2020,14914,"Tilghman Island, MD",Auto Theft,10/03/2020,11/06/2020,17318,37891,0,1605472,26
Ruth Jackson,6450290,2464112,8/21/2020,36299,"Pence, WI",Single Car Accident,06/09/2021,06/28/2021,19855,24363,1,9732615,46
Shawn Kuhn,3035398,4373642,11/6/2020,61947,"Helix, OR",Single Car Accident,11/14/2020,05/13/2021,4294,16459,1,1464637,18
Maria Brown,1852673,7166546,9/5/2020,28119,"Eads, CO",Multiple Car Accident,09/19/2020,12/03/2020,4750,18170,0,1964121,33
Norma Rowland,1186534,7052700,5/1/2020,50737,"Niagara, ND",Auto Theft,03/10/2021,03/16/2021,14110,9310,1,5807004,54
Donna Nelson,7619119,9466128,2/15/2020,29466,"Rachel, WV",Single Car Accident,05/03/2020,07/17/2020,5049,8595,1,9531561,37
Joy Roberts,8028810,8388303,6/11/2020,71947,"Ridgefield Park, NJ",Auto Theft,06/12/2020,01/05/2021,4334,32708,1,7611151,61
Johnny Pastel,4838275,5671841,11/12/2020,78413,"Grannis, AR",Bike & Car Accident,06/08/2021,06/17/2021,13877,14034,0,9679175,56
William Kilpatrick,8878339,1752423,6/8/2020,45613,"Taylor, MS",Single Car Accident,02/15/2021,04/05/2021,5738,15544,0,6640474,40
Karen Dale,2094487,6385517,1/21/2020,17496,"Elgin, SC",Auto Theft,06/19/2020,08/30/2020,17017,12559,0,2341935,56
James Shoemaker,2655085,7884243,2/24/2020,99575,"Coalport, PA",Bike & Car Accident,03/11/2020,10/17/2020,12468,24927,0,4139536,17
Loretta Brown,4143912,4396183,9/23/2020,84502,"Kingston, OK",Auto Theft,04/24/2021,05/11/2021,17254,24150,1,9740376,56
Charles Corkill,3422497,7142890,11/24/2020,15316,"El Portal, CA",Hit and Run,06/14/2021,06/22/2021,16855,35694,0,6712417,31
Ann Schutte,5288909,1493468,4/14/2020,93542,"Eminence, KY",Hit and Run,01/18/2021,05/28/2021,2229,20669,0,4199532,37
Edgar Cacciotti,9072108,9030758,7/1/2020,14827,"Sultana, CA",Single Car Accident,06/29/2021,06/30/2021,2316,32427,0,2804265,34
Kimberly Kent,1512133,9831816,4/9/2020,48321,"Miami Beach, FL",Single Car Accident,09/29/2020,01/13/2021,14656,34778,0,1589827,55
Jason Taylor,2113367,4678576,4/15/2020,83591,"Westwood Lakes, FL",Hit and Run,09/23/2020,04/30/2021,5499,58626,1,6316899,48
Dorothy Gomez,5781785,7474156,1/8/2020,79877,"Spencer, OK",Bike & Car Accident,12/24/2020,05/01/2021,17064,55290,1,1573498,45
Georgia Towns,6435913,8649436,5/23/2020,61677,"Garden City Park, NY",Single Car Accident,12/25/2020,04/09/2021,7451,18749,1,1774683,60
Cathy Wall,6731065,1348845,8/3/2020,64482,"Arnot, PA",Auto Theft,05/20/2021,05/22/2021,9124,6024,0,4091130,31
Newton Vaughn,6836253,3889096,5/15/2020,81665,"Glendora, CA",Multiple Car Accident,05/04/2021,05/15/2021,3480,19502,0,1396237,54
Marietta Cady,8362734,2346526,5/16/2020,69155,"Idaho Falls, ID",Hit and Run,06/21/2021,06/21/2021,8395,16877,0,8641972,52
Glen White,1009819,7040781,9/11/2020,43272,"Liberty, KS",Single Car Accident,05/13/2021,06/30/2021,18469,46372,0,9434247,49
Keith Summerlin,8045662,7278951,1/28/2020,31028,"Fostoria, IA",Single Car Accident,07/07/2020,08/06/2020,18875,52764,0,1378724,27
Denise Hixon,3301728,2003350,2/12/2020,37669,"Greenfield, OK",Auto Theft,09/26/2020,04/25/2021,5358,32488,0,8763548,45
Grace Chew,7506743,2800958,6/20/2020,69592,"Wilder, KY",Multiple Car Accident,10/23/2020,03/01/2021,2279,46471,0,9260895,35
Wilma Bennett,3041577,6791511,1/4/2020,70746,"Abilene, TX",Auto Theft,03/19/2021,06/20/2021,18255,5197,1,3791720,38
Hannah Pomerleau,6419018,8480761,2/24/2020,39138,"Hindsville, AR",Multiple Car Accident,05/30/2021,06/23/2021,2270,57166,0,6751598,30
Velma Dexter,7730087,7953273,10/4/2020,63590,"Epworth, IA",Multiple Car Accident,04/02/2021,06/24/2021,10082,50749,1,7855367,41
Lila Rogers,1786918,4470452,4/20/2020,21184,"Burt, MI",Auto Theft,06/24/2020,06/27/2021,3807,43888,1,2934366,17
Candida Becraft,2308139,1148656,5/16/2020,27333,"Pineville, WV",Hit and Run,09/12/2020,11/02/2020,6770,24722,0,9364222,29
Carl Dixon,1061342,8803919,1/9/2020,24446,"Jonesboro, LA",Hit and Run,05/21/2020,07/21/2020,2086,32709,1,4668618,20
Carol Freese,2762023,4909567,1/8/2020,22203,"Shorewood, MN",Single Car Accident,03/30/2020,10/01/2020,12903,56040,1,2823542,56
Robbie Spangler,1153206,4532882,5/12/2020,67129,"Dell City, TX",Bike & Car Accident,01/13/2021,05/24/2021,17370,42154,1,9643669,19
Imogene Lewis,1376065,7289478,10/8/2020,40555,"Laflin, PA",Hit and Run,05/02/2021,05/09/2021,12013,35739,0,9629758,62
Opal Huffman,9717456,8939109,1/21/2020,43678,"Hartwell, GA",Multiple Car Accident,07/24/2020,04/26/2021,7429,18523,0,3656376,49
Judy Christianson,9174994,4638783,12/15/2020,29042,"Box, OK",Bike & Car Accident,06/08/2021,06/14/2021,18236,45777,1,4969228,33
Ellen Morel,4318653,8390749,6/5/2020,52446,"Center, ND",Single Car Accident,07/27/2020,10/16/2020,14139,18290,0,2000598,62
Lucille Benbow,9084595,4777556,6/23/2020,54631,"Green Oaks, IL",Single Car Accident,08/03/2020,11/11/2020,13545,32703,0,1612903,29
Jesse Simmons,3963539,4557841,6/6/2020,69572,"Kellerton, IA",Single Car Accident,05/03/2021,05/22/2021,9287,12559,1,3044381,39
Robert Faulkner,3278319,6055742,1/18/2020,84516,"Bloomsburg, PA",Single Car Accident,04/04/2021,04/15/2021,4801,14668,0,7469969,29
Courtney Stevens,8089393,3205342,9/13/2020,15651,"Hamlet, IN",Hit and Run,03/02/2021,03/18/2021,18759,23012,0,2216155,18
Mark Knedler,8177648,2267717,4/12/2020,74449,"Jackson Heights, NC",Multiple Car Accident,04/19/2021,05/13/2021,4199,42954,0,5241998,26
Jennifer Gibbs,1930929,8100852,11/11/2020,78030,"Del Rey Oaks, CA",Auto Theft,04/21/2021,04/25/2021,3963,43750,1,9072089,44
Virginia Poehlman,5611043,8830452,1/16/2020,71049,"Millvale, PA",Auto Theft,04/15/2021,06/02/2021,4883,53191,1,2793068,41
